trace,benchmark_family,split_side,experiment,experiment_kind,router,builtin_coordinator,expert_0,expert_1,seed,ipc,speedup_vs_baseline,speedup_vs_best_single,baseline_ipc,best_single_ipc,traffic_overhead_vs_baseline,l2c_load_miss,l2c_mpki,l2c_prefetch_issued_raw,l2c_prefetch_issued,l2c_prefetch_useful,l2c_prefetch_useless,l2c_prefetch_late,downstream_prefetch_accuracy,pref0_issued_total,pref1_issued_total,pref0_useful_total,pref1_useful_total,pref0_budget_total,pref1_budget_total,pref0_selected_epochs,pref1_selected_epochs,pref0_accuracy,pref1_accuracy,l1d_load_miss,llc_prefetch_useful,l2c_total_miss,l2c_rq_full,l2c_wq_full,l2c_pq_full,dram_rq_row_buffer_miss,dram_bus_congested,dram_mshr_full,branch_pred_mpki,cycles,total_instructions,warmup_instructions,simulation_instructions,epoch_len_instructions,mop_total_budget,mop_accuracy_floor,mop_fixed_split_ratio,mop_score_weights,mode,host,git_revision,duration_s,start_utc,end_utc,trace_path,log_path,stderr_path,metrics_path,epoch_trace_prefix,flags,downstream_prefetch_useful
parsec_2.1.fluidanimate.simlarge.prebuilt.drop_9500M.length_250M,PARSEC,train,SPP+PPF,single,,,,,,1.13043,1.030915706820607,1.0,1.09653,1.13043,1.0,7576.0,0.7576,23095.0,23095.0,0.0,0.0,0.0,0.16700584542108682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18315.0,3857.0,7576.0,0.0,0.0,0.0,1783.0,4780.0,0.0,8.85,8846218.0,10000000.0,5000000,10000000,,,,,,smoke_mode,GS24473,00029de714bd1de558e0e59cc9e5340eb1c94fee,30.599728,2026-04-17T14:46:13.627784+00:00,2026-04-17T14:46:44.227512+00:00,/home/barry/projects/github/Mixture-of-Prefetchers/artifacts/athena_traces/parsec_2.1.fluidanimate.simlarge.prebuilt.drop_9500M.length_250M.champsimtrace.xz,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite/logs/parsec_2.1.fluidanimate.simlarge.prebuilt.drop_9500M.length_250M__SPPplusPPF.out,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite/logs/parsec_2.1.fluidanimate.simlarge.prebuilt.drop_9500M.length_250M__SPPplusPPF.err,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite/metrics/parsec_2.1.fluidanimate.simlarge.prebuilt.drop_9500M.length_250M__SPPplusPPF.json,,"--warmup_instructions=5000000 --simulation_instructions=10000000 --llc_replacement_type=ship --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/nopref.ini --rob_partition_size=64,128,320 --rob_frontal_partition_ids=0 --rob_dorsal_partition_ids=2 --dram_io_freq=400 --l2c_prefetcher_types=spp_ppf_dev --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/spp_ppf_dev.ini --l2c_prefetcher_force_prefetch_at_llc=true",3857.0
parsec_2.1.fluidanimate.simlarge.prebuilt.drop_9500M.length_250M,PARSEC,train,Baseline,baseline,,,,,,1.09653,1.0,0.9700114115867413,1.09653,1.13043,0.0,7576.0,0.7576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18315.0,0.0,7576.0,0.0,0.0,0.0,636.0,3685.0,0.0,8.85,9119655.0,10000000.0,5000000,10000000,,,,,,smoke_mode,GS24473,00029de714bd1de558e0e59cc9e5340eb1c94fee,30.757562,2026-04-17T14:46:13.626150+00:00,2026-04-17T14:46:44.383712+00:00,/home/barry/projects/github/Mixture-of-Prefetchers/artifacts/athena_traces/parsec_2.1.fluidanimate.simlarge.prebuilt.drop_9500M.length_250M.champsimtrace.xz,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite/logs/parsec_2.1.fluidanimate.simlarge.prebuilt.drop_9500M.length_250M__Baseline.out,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite/logs/parsec_2.1.fluidanimate.simlarge.prebuilt.drop_9500M.length_250M__Baseline.err,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite/metrics/parsec_2.1.fluidanimate.simlarge.prebuilt.drop_9500M.length_250M__Baseline.json,,"--warmup_instructions=5000000 --simulation_instructions=10000000 --llc_replacement_type=ship --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/nopref.ini --rob_partition_size=64,128,320 --rob_frontal_partition_ids=0 --rob_dorsal_partition_ids=2 --dram_io_freq=400",0.0
parsec_2.1.fluidanimate.simlarge.prebuilt.drop_9500M.length_250M,PARSEC,train,AthenaMAB,builtin,,AthenaMAB,Pythia,SPP+PPF,,1.10087,1.00395794004724,0.9738506585989402,1.09653,1.13043,1.0,7576.0,0.7576,3523.0,3523.0,0.0,0.0,0.0,0.1546977008231621,4222.0,5501.0,3795.0,4740.0,0.0,0.0,0.0,0.0,0.8988630980577925,0.861661516087984,18315.0,545.0,7576.0,0.0,0.0,0.0,849.0,3803.0,0.0,8.85,9083719.0,10000000.0,5000000,10000000,500000,,,,,smoke_mode,GS24473,00029de714bd1de558e0e59cc9e5340eb1c94fee,30.990503,2026-04-17T14:46:13.629035+00:00,2026-04-17T14:46:44.619538+00:00,/home/barry/projects/github/Mixture-of-Prefetchers/artifacts/athena_traces/parsec_2.1.fluidanimate.simlarge.prebuilt.drop_9500M.length_250M.champsimtrace.xz,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite/logs/parsec_2.1.fluidanimate.simlarge.prebuilt.drop_9500M.length_250M__AthenaMAB.out,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite/logs/parsec_2.1.fluidanimate.simlarge.prebuilt.drop_9500M.length_250M__AthenaMAB.err,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite/metrics/parsec_2.1.fluidanimate.simlarge.prebuilt.drop_9500M.length_250M__AthenaMAB.json,,"--warmup_instructions=5000000 --simulation_instructions=10000000 --llc_replacement_type=ship --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/nopref.ini --rob_partition_size=64,128,320 --rob_frontal_partition_ids=0 --rob_dorsal_partition_ids=2 --dram_io_freq=400 --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/mop_lite_mab.ini --l2c_prefetcher_types=scooby --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/pythia.ini --l2c_prefetcher_types=spp_ppf_dev --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/spp_ppf_dev.ini --l2c_prefetcher_force_prefetch_at_llc=true",545.0
parsec_2.1.fluidanimate.simlarge.prebuilt.drop_9500M.length_250M,PARSEC,train,MoPLite,router,MoPLite,,Pythia,SPP+PPF,1,1.09653,1.0,0.9700114115867413,1.09653,1.13043,0.0,7576.0,0.7576,0.0,0.0,0.0,0.0,0.0,0.0,706.0,1818.0,247.0,1660.0,0.0,2048.0,0.0,1.0,0.34985835694050993,0.9130913091309131,18315.0,0.0,7576.0,0.0,0.0,0.0,636.0,3685.0,0.0,8.85,9119655.0,10000000.0,5000000,10000000,500000,2048,30,50,"1.0,0.25,1.0",smoke_mode,GS24473,00029de714bd1de558e0e59cc9e5340eb1c94fee,31.252432,2026-04-17T14:46:13.628268+00:00,2026-04-17T14:46:44.880700+00:00,/home/barry/projects/github/Mixture-of-Prefetchers/artifacts/athena_traces/parsec_2.1.fluidanimate.simlarge.prebuilt.drop_9500M.length_250M.champsimtrace.xz,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite/logs/parsec_2.1.fluidanimate.simlarge.prebuilt.drop_9500M.length_250M__MoPLite.out,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite/logs/parsec_2.1.fluidanimate.simlarge.prebuilt.drop_9500M.length_250M__MoPLite.err,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite/metrics/parsec_2.1.fluidanimate.simlarge.prebuilt.drop_9500M.length_250M__MoPLite.json,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite/epoch_logs/parsec_2.1.fluidanimate.simlarge.prebuilt.drop_9500M.length_250M__MoPLite,"--warmup_instructions=5000000 --simulation_instructions=10000000 --llc_replacement_type=ship --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/nopref.ini --rob_partition_size=64,128,320 --rob_frontal_partition_ids=0 --rob_dorsal_partition_ids=2 --dram_io_freq=400 --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/mop_lite.ini --mop_router_type=4 --mop_seed=1 --l2c_prefetcher_types=scooby --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/pythia.ini --l2c_prefetcher_types=spp_ppf_dev --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/spp_ppf_dev.ini --l2c_prefetcher_force_prefetch_at_llc=true --mop_epoch_trace=/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite/epoch_logs/parsec_2.1.fluidanimate.simlarge.prebuilt.drop_9500M.length_250M__MoPLite",0.0
parsec_2.1.fluidanimate.simlarge.prebuilt.drop_9500M.length_250M,PARSEC,train,Pythia,single,,,,,,1.12629,1.027140160323931,0.996337676813248,1.09653,1.13043,1.0,7576.0,0.7576,14457.0,14457.0,0.0,0.0,0.0,0.24112886490973232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18315.0,3486.0,7576.0,0.0,0.0,0.0,754.0,4497.0,0.0,8.85,8878742.0,10000000.0,5000000,10000000,,,,,,smoke_mode,GS24473,00029de714bd1de558e0e59cc9e5340eb1c94fee,31.317949,2026-04-17T14:46:13.626348+00:00,2026-04-17T14:46:44.944297+00:00,/home/barry/projects/github/Mixture-of-Prefetchers/artifacts/athena_traces/parsec_2.1.fluidanimate.simlarge.prebuilt.drop_9500M.length_250M.champsimtrace.xz,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite/logs/parsec_2.1.fluidanimate.simlarge.prebuilt.drop_9500M.length_250M__Pythia.out,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite/logs/parsec_2.1.fluidanimate.simlarge.prebuilt.drop_9500M.length_250M__Pythia.err,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite/metrics/parsec_2.1.fluidanimate.simlarge.prebuilt.drop_9500M.length_250M__Pythia.json,,"--warmup_instructions=5000000 --simulation_instructions=10000000 --llc_replacement_type=ship --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/nopref.ini --rob_partition_size=64,128,320 --rob_frontal_partition_ids=0 --rob_dorsal_partition_ids=2 --dram_io_freq=400 --l2c_prefetcher_types=scooby --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/pythia.ini --l2c_prefetcher_force_prefetch_at_llc=true",3486.0
429.mcf-192B,SPEC,train,Baseline,baseline,,,,,,0.07751,1.0,0.9477867449254095,0.07751,0.08178,0.0,818191.0,81.8191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1430762.0,0.0,818284.0,0.0,0.0,0.0,500184.0,21240.0,0.0,20.47,129022142.0,10000000.0,5000000,10000000,,,,,,smoke_mode,GS24473,00029de714bd1de558e0e59cc9e5340eb1c94fee,48.32606,2026-04-17T14:46:13.629911+00:00,2026-04-17T14:47:01.955971+00:00,/home/barry/projects/github/Mixture-of-Prefetchers/artifacts/athena_traces/429.mcf-192B.champsimtrace.xz,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite/logs/429.mcf-192B__Baseline.out,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite/logs/429.mcf-192B__Baseline.err,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite/metrics/429.mcf-192B__Baseline.json,,"--warmup_instructions=5000000 --simulation_instructions=10000000 --llc_replacement_type=ship --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/nopref.ini --rob_partition_size=64,128,320 --rob_frontal_partition_ids=0 --rob_dorsal_partition_ids=2 --dram_io_freq=400",0.0
429.mcf-192B,SPEC,train,SPP+PPF,single,,,,,,0.08178,1.0550896658495679,1.0,0.07751,0.08178,1.0,814938.0,81.4938,485529.0,485529.0,0.0,0.0,0.0,0.2585983535483977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1430735.0,125557.0,815028.0,0.0,0.0,0.0,640433.0,255333.0,0.0,20.47,122274857.0,10000000.0,5000000,10000000,,,,,,smoke_mode,GS24473,00029de714bd1de558e0e59cc9e5340eb1c94fee,53.11995,2026-04-17T14:46:13.631575+00:00,2026-04-17T14:47:06.751525+00:00,/home/barry/projects/github/Mixture-of-Prefetchers/artifacts/athena_traces/429.mcf-192B.champsimtrace.xz,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite/logs/429.mcf-192B__SPPplusPPF.out,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite/logs/429.mcf-192B__SPPplusPPF.err,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite/metrics/429.mcf-192B__SPPplusPPF.json,,"--warmup_instructions=5000000 --simulation_instructions=10000000 --llc_replacement_type=ship --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/nopref.ini --rob_partition_size=64,128,320 --rob_frontal_partition_ids=0 --rob_dorsal_partition_ids=2 --dram_io_freq=400 --l2c_prefetcher_types=spp_ppf_dev --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/spp_ppf_dev.ini --l2c_prefetcher_force_prefetch_at_llc=true",125557.0
429.mcf-192B,SPEC,train,Pythia,single,,,,,,0.07892,1.0181912011353376,0.9650281242357545,0.07751,0.08178,1.0,817064.0,81.7064,215064.0,215064.0,0.0,0.0,0.0,0.45803109771974854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1430741.0,98506.0,817157.0,0.0,0.0,0.0,634004.0,222042.0,0.0,20.47,126707370.0,10000000.0,5000000,10000000,,,,,,smoke_mode,GS24473,00029de714bd1de558e0e59cc9e5340eb1c94fee,59.874901,2026-04-17T14:46:13.630813+00:00,2026-04-17T14:47:13.505714+00:00,/home/barry/projects/github/Mixture-of-Prefetchers/artifacts/athena_traces/429.mcf-192B.champsimtrace.xz,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite/logs/429.mcf-192B__Pythia.out,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite/logs/429.mcf-192B__Pythia.err,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite/metrics/429.mcf-192B__Pythia.json,,"--warmup_instructions=5000000 --simulation_instructions=10000000 --llc_replacement_type=ship --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/nopref.ini --rob_partition_size=64,128,320 --rob_frontal_partition_ids=0 --rob_dorsal_partition_ids=2 --dram_io_freq=400 --l2c_prefetcher_types=scooby --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/pythia.ini --l2c_prefetcher_force_prefetch_at_llc=true",98506.0
429.mcf-192B,SPEC,train,MoPLite,router,MoPLite,,Pythia,SPP+PPF,1,0.07749,0.9997419687782223,0.9475421863536316,0.07751,0.08178,0.0,817920.0,81.792,0.0,0.0,0.0,0.0,0.0,0.0,2465.0,3208.0,1823.0,1997.0,1469.0,2627.0,1.0,2.0,0.7395537525354969,0.6225062344139651,1430764.0,172.0,818011.0,0.0,0.0,0.0,500420.0,21161.0,0.0,20.47,129047399.0,10000000.0,5000000,10000000,500000,2048,30,50,"1.0,0.25,1.0",smoke_mode,GS24473,00029de714bd1de558e0e59cc9e5340eb1c94fee,51.040592,2026-04-17T14:46:44.227571+00:00,2026-04-17T14:47:35.268163+00:00,/home/barry/projects/github/Mixture-of-Prefetchers/artifacts/athena_traces/429.mcf-192B.champsimtrace.xz,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite/logs/429.mcf-192B__MoPLite.out,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite/logs/429.mcf-192B__MoPLite.err,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite/metrics/429.mcf-192B__MoPLite.json,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite/epoch_logs/429.mcf-192B__MoPLite,"--warmup_instructions=5000000 --simulation_instructions=10000000 --llc_replacement_type=ship --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/nopref.ini --rob_partition_size=64,128,320 --rob_frontal_partition_ids=0 --rob_dorsal_partition_ids=2 --dram_io_freq=400 --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/mop_lite.ini --mop_router_type=4 --mop_seed=1 --l2c_prefetcher_types=scooby --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/pythia.ini --l2c_prefetcher_types=spp_ppf_dev --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/spp_ppf_dev.ini --l2c_prefetcher_force_prefetch_at_llc=true --mop_epoch_trace=/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite/epoch_logs/429.mcf-192B__MoPLite",172.0
429.mcf-192B,SPEC,train,AthenaMAB,builtin,,AthenaMAB,Pythia,SPP+PPF,,0.07738,0.9983227970584442,0.946197114208853,0.07751,0.08178,1.0,817207.0,81.7207,111169.0,111169.0,0.0,0.0,0.0,0.2752206100621576,260215.0,84177.0,117339.0,13651.0,0.0,0.0,0.0,0.0,0.45093096093614893,0.1621701890064982,1430771.0,30596.0,817298.0,0.0,0.0,0.0,562680.0,102848.0,0.0,20.47,129226414.0,10000000.0,5000000,10000000,500000,,,,,smoke_mode,GS24473,00029de714bd1de558e0e59cc9e5340eb1c94fee,51.936493,2026-04-17T14:46:44.383772+00:00,2026-04-17T14:47:36.320265+00:00,/home/barry/projects/github/Mixture-of-Prefetchers/artifacts/athena_traces/429.mcf-192B.champsimtrace.xz,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite/logs/429.mcf-192B__AthenaMAB.out,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite/logs/429.mcf-192B__AthenaMAB.err,/home/barry/projects/github/Mixture-of-Prefetchers/results/mop_lite/metrics/429.mcf-192B__AthenaMAB.json,,"--warmup_instructions=5000000 --simulation_instructions=10000000 --llc_replacement_type=ship --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/nopref.ini --rob_partition_size=64,128,320 --rob_frontal_partition_ids=0 --rob_dorsal_partition_ids=2 --dram_io_freq=400 --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/mop_lite_mab.ini --l2c_prefetcher_types=scooby --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/pythia.ini --l2c_prefetcher_types=spp_ppf_dev --config=/home/barry/projects/github/Mixture-of-Prefetchers/external/athena/config/spp_ppf_dev.ini --l2c_prefetcher_force_prefetch_at_llc=true",30596.0
